,alter_j,alter_k,relationship
629,14,28,
630,14,29,
631,14,30,
632,14,31,
633,14,32,
634,14,33,
635,14,34,
636,14,35,
637,14,36,
638,14,37,
639,14,38,
640,14,39,
641,14,40,
642,14,41,
643,14,42,
644,14,43,
645,14,44,
646,14,0,
647,14,1,
648,14,2,
649,14,3,
650,14,4,
651,14,5,
652,14,6,
653,14,7,
654,14,8,
655,14,9,
656,14,10,
657,14,11,
658,14,12,
659,14,13,
660,15,16,Sí
661,15,17,Sí
662,15,18,Sí
663,15,19,Sí
664,15,20,
665,15,21,
666,15,22,
667,15,23,
668,15,24,
669,15,25,
670,15,26,
671,15,27,
672,15,28,
673,15,29,
674,15,30,
675,15,31,
676,15,32,
677,15,33,
678,15,34,
679,15,35,
680,15,36,
681,15,37,
682,15,38,
683,15,39,
684,15,40,
685,15,41,
686,15,42,
687,15,43,
688,15,44,
689,15,0,
690,15,1,
691,15,2,
692,15,3,
693,15,4,
694,15,5,
695,15,6,
696,15,7,
697,15,8,
698,15,9,
699,15,10,
700,15,11,
701,15,12,
702,15,13,
703,15,14,
704,16,17,Sí
705,16,18,Sí
706,16,19,Sí
707,16,20,
708,16,21,
709,16,22,
710,16,23,
711,16,24,
712,16,25,
713,16,26,
714,16,27,
715,16,28,
716,16,29,
717,16,30,
718,16,31,
719,16,32,
720,16,33,
721,16,34,
722,16,35,
723,16,36,
724,16,37,
725,16,38,
726,16,39,
727,16,40,
728,16,41,
729,16,42,
730,16,43,
731,16,44,
732,16,0,
733,16,1,
734,16,2,
735,16,3,
736,16,4,
737,16,5,
738,16,6,
739,16,7,
740,16,8,
741,16,9,
742,16,10,
743,16,11,
744,16,12,
745,16,13,
746,16,14,
747,16,15,
748,17,18,Sí
749,17,19,Sí
750,17,20,
751,17,21,
752,17,22,
753,17,23,
754,17,24,
755,17,25,
756,17,26,
757,17,27,
758,17,28,
759,17,29,
760,17,30,
761,17,31,
762,17,32,
763,17,33,
764,17,34,
765,17,35,
766,17,36,
767,17,37,
768,17,38,
769,17,39,
770,17,40,
771,17,41,
772,17,42,
773,17,43,
774,17,44,
775,17,0,
776,17,1,
777,17,2,
778,17,3,
779,17,4,
780,17,5,
781,17,6,
782,17,7,
783,17,8,
784,17,9,
785,17,10,
786,17,11,
787,17,12,
788,17,13,
789,17,14,
790,17,15,
791,17,16,
792,18,19,Sí
793,18,20,
794,18,21,
795,18,22,
796,18,23,
797,18,24,
798,18,25,
799,18,26,
800,18,27,
801,18,28,
802,18,29,
803,18,30,
804,18,31,
805,18,32,
806,18,33,
807,18,34,
808,18,35,
809,18,36,
810,18,37,
811,18,38,
812,18,39,
813,18,40,
814,18,41,
815,18,42,
816,18,43,
817,18,44,
818,18,0,
819,18,1,
820,18,2,
821,18,3,
822,18,4,
823,18,5,
824,18,6,
825,18,7,
826,18,8,
827,18,9,
828,18,10,
829,18,11,
830,18,12,
831,18,13,
832,18,14,
833,18,15,
834,18,16,
835,18,17,
836,19,20,
837,19,21,
838,19,22,
839,19,23,
840,19,24,
841,19,25,
842,19,26,
843,19,27,
844,19,28,
845,19,29,
846,19,30,
847,19,31,
848,19,32,
849,19,33,
850,19,34,
851,19,35,
852,19,36,
853,19,37,
854,19,38,
855,19,39,
856,19,40,
857,19,41,
858,19,42,
859,19,43,
860,19,44,
861,19,0,
862,19,1,
863,19,2,
864,19,3,
865,19,4,
866,19,5,
867,19,6,
868,19,7,
869,19,8,
870,19,9,
871,19,10,
872,19,11,
873,19,12,
874,19,13,
875,19,14,
876,19,15,
877,19,16,
878,19,17,
879,19,18,
880,20,21,
881,20,22,
882,20,23,
883,20,24,
884,20,25,
885,20,26,
886,20,27,
887,20,28,
888,20,29,
889,20,30,
890,20,31,
891,20,32,
892,20,33,
893,20,34,
894,20,35,
895,20,36,
896,20,37,
897,20,38,
898,20,39,
899,20,40,
900,20,41,
901,20,42,
902,20,43,
903,20,44,
904,20,0,
905,20,1,
906,20,2,
907,20,3,
908,20,4,
909,20,5,
910,20,6,
911,20,7,
912,20,8,
913,20,9,
914,20,10,
915,20,11,
916,20,12,
917,20,13,
918,20,14,
919,20,15,
920,20,16,
921,20,17,
922,20,18,
923,20,19,
924,21,22,
925,21,23,
926,21,24,
927,21,25,
928,21,26,
929,21,27,
930,21,28,
931,21,29,
932,21,30,
933,21,31,
934,21,32,
935,21,33,
936,21,34,
937,21,35,
938,21,36,
939,21,37,
940,21,38,
941,21,39,
942,21,40,
943,21,41,
944,21,42,
945,21,43,
946,21,44,
947,21,0,
948,21,1,
949,21,2,
950,21,3,
951,21,4,
952,21,5,
953,21,6,
954,21,7,
955,21,8,
956,21,9,
957,21,10,
958,21,11,
959,21,12,
960,21,13,
961,21,14,
962,21,15,
963,21,16,
964,21,17,
965,21,18,
966,21,19,
967,21,20,
968,22,23,
969,22,24,
970,22,25,
971,22,26,
972,22,27,
973,22,28,
974,22,29,
975,22,30,
976,22,31,
977,22,32,
978,22,33,
979,22,34,
980,22,35,
981,22,36,
982,22,37,
983,22,38,
984,22,39,
985,22,40,
986,22,41,
987,22,42,
988,22,43,
989,22,44,
990,22,0,
991,22,1,
992,22,2,
993,22,3,
994,22,4,
995,22,5,
996,22,6,
997,22,7,
998,22,8,
999,22,9,
1000,22,10,
1001,22,11,
1002,22,12,
1003,22,13,
1004,22,14,
1005,22,15,
1006,22,16,
1007,22,17,
1008,22,18,
1009,22,19,
1010,22,20,
1011,22,21,
1012,23,24,
1013,23,25,
1014,23,26,
1015,23,27,
1016,23,28,
1017,23,29,
1018,23,30,
1019,23,31,
1020,23,32,
1021,23,33,
1022,23,34,
1023,23,35,
1024,23,36,
1025,23,37,
1026,23,38,
1027,23,39,
1028,23,40,
1029,23,41,
1030,23,42,
1031,23,43,
1032,23,44,
1033,23,0,
1034,23,1,
1035,23,2,
1036,23,3,
1037,23,4,
1038,23,5,
1039,23,6,
1040,23,7,
1041,23,8,
1042,23,9,
1043,23,10,
1044,23,11,
1045,23,12,
1046,23,13,
1047,23,14,
1048,23,15,
1049,23,16,
1050,23,17,
1051,23,18,
1052,23,19,
1053,23,20,
1054,23,21,
1055,23,22,
1056,24,25,
1057,24,26,
1058,24,27,
1059,24,28,
1060,24,29,
1061,24,30,
1062,24,31,
1063,24,32,
1064,24,33,
1065,24,34,
1066,24,35,
1067,24,36,
1068,24,37,
1069,24,38,
1070,24,39,
1071,24,40,
1072,24,41,
1073,24,42,
1074,24,43,
1075,24,44,
1076,24,0,
1077,24,1,
1078,24,2,
1079,24,3,
1080,24,4,
1081,24,5,
1082,24,6,
1083,24,7,
1084,24,8,
1085,24,9,
1086,24,10,
1087,24,11,
1088,24,12,
1089,24,13,
1090,24,14,
1091,24,15,
1092,24,16,
1093,24,17,
1094,24,18,
1095,24,19,
1096,24,20,
1097,24,21,
1098,24,22,
1099,24,23,
1100,25,26,
1101,25,27,
1102,25,28,
1103,25,29,
1104,25,30,
1105,25,31,
1106,25,32,
1107,25,33,
1108,25,34,
1109,25,35,
1110,25,36,
1111,25,37,
1112,25,38,
1113,25,39,
1114,25,40,
1115,25,41,
1116,25,42,
1117,25,43,
1118,25,44,
1119,25,0,
1120,25,1,
1121,25,2,
1122,25,3,
1123,25,4,
1124,25,5,
1125,25,6,
1126,25,7,
1127,25,8,
1128,25,9,
1129,25,10,
1130,25,11,
1131,25,12,
1132,25,13,
1133,25,14,
1134,25,15,
1135,25,16,
1136,25,17,
1137,25,18,
1138,25,19,
1139,25,20,
1140,25,21,
1141,25,22,
1142,25,23,
1143,25,24,
1144,26,27,
1145,26,28,
1146,26,29,
1147,26,30,
1148,26,31,
1149,26,32,
1150,26,33,
1151,26,34,
1152,26,35,
1153,26,36,
1154,26,37,
1155,26,38,
1156,26,39,
1157,26,40,
1158,26,41,
